iter	Passed	Remaining
0	0	88
1	1	89
2	2	85
3	3	79
4	4	88
5	6	99
6	7	96
7	8	93
8	8	90
9	9	88
10	10	88
11	12	91
12	13	89
13	14	87
14	15	85
15	16	84
16	17	86
17	19	87
18	20	86
19	21	86
20	22	84
21	23	83
22	24	81
23	25	79
24	27	81
25	28	80
26	29	79
27	31	81
28	33	81
29	34	79
30	34	77
31	35	76
32	37	75
33	38	74
34	39	72
35	40	71
36	41	69
37	43	71
38	45	71
39	46	70
40	47	68
41	48	66
42	49	65
43	50	64
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	69	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	87	21
80	89	20
81	90	19
82	91	18
83	93	17
84	94	16
85	95	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	103	6
94	107	5
95	109	4
96	110	3
97	111	2
98	112	1
99	116	0
